kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,3.0,7572.81,Kota Surabaya,6.91,0.273,1371.2571428541746,174
LAMONGAN,446601,74.83,12.53,6.05,2488724.77,1362.75,0.93,3.31,771.0,100.1,2022,4.0,6882.77,Kota Surabaya,6.59,0.273,530.803206995537,186
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,1.0,7759.23,Kota Surabaya,6.3,0.295,334.66249999947047,197
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,2.0,7912.67,Kota Surabaya,4.91,0.295,67.24706873313097,229
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,3.0,7818.37,Kota Surabaya,3.14,0.295,415.4834726089708,142
LAMONGAN,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,4.0,7218.91,Kota Surabaya,3.03,0.295,616.617438690418,143
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,1.0,7914.39,Kota Surabaya,2.99,0.281,140.6826107010421,144
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,2.0,8514.54,Kota Surabaya,2.35,0.281,110.11374947277308,144
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,3.0,8193.0,Kota Surabaya,1.65,0.281,175.79248585569732,148
LAMONGAN,524636,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,4.0,7564.02,Kota Surabaya,"1,38",0.281,636.5062913904943,297
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,1.0,5589.13,Kabupaten Jember,2.87,0.349,20.63870967741936,29
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,2.0,6075.55,Kabupaten Jember,5.53,0.349,82.1626421223161,33
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,3.0,6114.61,Kabupaten Jember,7.3,0.349,67.38932490853551,35
LUMAJANG,352776,68.48,9.06,4.97,2000607.2,1133.1,0.79,2.75,631.5,97.8,2022,4.0,5847.29,Kabupaten Jember,7.39,0.349,77.86630340015739,38
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,1.0,5884.74,Kabupaten Jember,6.48,0.391,48.547502216960005,40
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,2.0,6420.41,Kabupaten Jember,4.31,0.391,313.48257016201853,53
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,3.0,6392.38,Kabupaten Jember,3.05,0.391,133.79444973037306,27
LUMAJANG,386995,69.37,8.93,3.67,2281469.0,1139.1,0.64,2.74,634.0,97.8,2023,4.0,6110.82,Kabupaten Jember,2.29,0.391,252.45952848698187,28
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,1.0,6094.54,Kabupaten Jember,2.53,0.363,772.642120679102,30
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,2.0,6671.31,Kabupaten Jember,1.99,0.363,102.21213735932372,30
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,3.0,6717.55,Kabupaten Jember,1.56,0.363,79.76674008801787,33
LUMAJANG,405136,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,4.0,6446.52,Kabupaten Jember,"1,74",0.363,339.32718893957093,84
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,1.0,3323.97,Kota Madiun,2.38,0.354,624.4035714285715,110
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,2.0,3352.15,Kota Madiun,4.76,0.354,2418.1153845223803,37
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,3.0,3871.27,Kota Madiun,6.14,0.354,200.5730407521415,38
MADIUN,405127,73.51,10.79,5.84,1958410.31,752.3,0.77,1.83,700.5,98.1,2022,4.0,3622.24,Kota Madiun,5.8,0.354,632.668367340483,130
MADIUN,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,1.0,3496.83,Kota Madiun,5.15,0.342,550.1781523092695,135
MADIUN,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,2.0,3622.42,Kota Madiun,3.25,0.342,47.24365690803942,51
MADIUN,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,3.0,3981.44,Kota Madiun,2.16,0.342,526.6332082541714,88
MADIUN,437296,74.02,11.04,5.14,2243291.0,754.5,0.49,1.82,678.0,98.0,2023,4.0,3795.12,Kota Madiun,2.35,0.342,359.0960159355397,32
MADIUN,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,1.0,3654.95,Kota Madiun,3.05,0.309,53.43619518219474,92
MADIUN,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,2.0,3812.1,Kota Madiun,1.85,0.309,204.4460661963634,92
MADIUN,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,3.0,4185.51,Kota Madiun,1.22,0.309,70.99211045362891,93
MADIUN,460205,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,4.0,3940.64,Kota Madiun,"1,31",0.309,27.57925944457654,190
MAGETAN,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,1.0,3415.37,Kota Madiun,2.38,0.352,1973.453488372093,18
MAGETAN,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,2.0,3419.49,Kota Madiun,4.76,0.352,12.517647058774442,19
MAGETAN,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,3.0,3627.47,Kota Madiun,6.14,0.352,2702.6749996621656,21
MAGETAN,396696,75.76,9.84,4.33,1957329.43,677.9,0.62,1.65,972.0,96.8,2022,4.0,3476.81,Kota Madiun,5.8,0.352,34.150438596341445,24
MAGETAN,431203,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,1.0,3509.15,Kota Madiun,5.15,0.373,1579.475700919818,26
MAGETAN,431203,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,2.0,3619.52,Kota Madiun,3.25,0.373,13.290996398543468,29
MAGETAN,431203,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,3.0,3749.73,Kota Madiun,2.16,0.373,94.70702541091973,19
MAGETAN,431203,76.3,9.8,4.16,2238808.0,681.7,0.59,1.64,965.0,96.8,2023,4.0,3684.29,Kota Madiun,2.35,0.373,754.599999969816,19
MAGETAN,455119,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,1.0,3678.83,Kota Madiun,3.05,0.371,16.609442724432494,19
MAGETAN,455119,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,2.0,3803.06,Kota Madiun,1.85,0.371,664.958064505404,19
MAGETAN,455119,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,3.0,3932.79,Kota Madiun,1.22,0.371,192.6693333320489,21
MAGETAN,455119,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,4.0,3845.18,Kota Madiun,"1,31",0.371,41.21499999982827,73
MALANG,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,1.0,17416.29,Kota Malang,2.98,0.368,689.0861556064074,390
MALANG,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,2.0,17888.26,Kota Malang,5.3,0.368,4183.536298924941,409
MALANG,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,3.0,18421.05,Kota Malang,7.08,0.368,625.5456360075829,192
MALANG,367579,72.23,9.55,6.57,3068275.36,2691.95,0.76,6.54,769.0,101.4,2022,4.0,18410.87,Kota Malang,6.45,0.368,498.1790697669382,205
MALANG,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,1.0,18392.47,Kota Malang,5.74,0.378,377.895159515813,507
MALANG,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,2.0,18789.06,Kota Malang,3.85,0.378,70.2312159899466,292
MALANG,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,3.0,19212.26,Kota Malang,2.27,0.378,131.0504711361279,307
MALANG,399647,73.0,9.45,5.7,3368275.0,2715.6,0.83,6.54,782.0,101.2,2023,4.0,19350.51,Kota Malang,2.56,0.378,297.6808809746024,148
MALANG,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,1.0,19366.79,Kota Malang,2.9,0.343,501.1454506980528,320
MALANG,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,2.0,19801.48,Kota Malang,2.02,0.343,335.0625816992095,320
MALANG,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,3.0,20133.31,Kota Malang,1.62,0.343,414.5558993180836,167
MALANG,420334,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,4.0,20199.32,Kota Malang,"1,36",0.343,358.8063281823551,459
MOJOKERTO,445608,75.61,9.71,4.83,4354787.17,1135.5,0.8,2.75,1365.5,101.15,2022,1.0,15302.96,Kota Surabaya,3.16,0.327,433.2619429590018,182
MOJOKERTO,445608,75.61,9.71,4.83,4354787.17,1135.5,0.8,2.75,1365.5,101.15,2022,2.0,15950.83,Kota Surabaya,4.89,0.327,1376.7481111095815,192
MOJOKERTO,445608,75.61,9.71,4.83,4354787.17,1135.5,0.8,2.75,1365.5,101.15,2022,3.0,16608.41,Kota Surabaya,6.91,0.327,4238.795266259649,77
MOJOKERTO,445608,75.61,9.71,4.83,4354787.17,1135.5,0.8,2.75,1365.5,101.15,2022,4.0,15837.63,Kota Surabaya,6.59,0.327,431.45234972654015,209
MOJOKERTO,486520,76.23,9.8,4.67,4624787.0,1145.5,0.85,2.76,1163.0,101.1,2023,1.0,16257.93,Kota Surabaya,6.3,0.338,414.36398852204,214
MOJOKERTO,486520,76.23,9.8,4.67,4624787.0,1145.5,0.85,2.76,1163.0,101.1,2023,2.0,16775.73,Kota Surabaya,4.91,0.338,472.75116836400673,55
MOJOKERTO,486520,76.23,9.8,4.67,4624787.0,1145.5,0.85,2.76,1163.0,101.1,2023,3.0,17175.05,Kota Surabaya,3.14,0.338,371.1621174893072,30
MOJOKERTO,486520,76.23,9.8,4.67,4624787.0,1145.5,0.85,2.76,1163.0,101.1,2023,4.0,16773.96,Kota Surabaya,3.03,0.338,362.5964893031472,29
MOJOKERTO,508618,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,1.0,17098.15,Kota Surabaya,2.99,0.337,233.36846741038363,130
MOJOKERTO,508618,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,2.0,17704.9,Kota Surabaya,2.35,0.337,260.7098486667641,130
MOJOKERTO,508618,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,3.0,18092.81,Kota Surabaya,1.65,0.337,448.1982970295255,33
MOJOKERTO,508618,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,4.0,17631.78,Kota Surabaya,"1,38",0.337,182.54677754674304,80
NGANJUK,474429,73.95,10.7,4.74,1970006.41,1117.2,0.69,2.71,889.0,101.15,2022,1.0,4865.39,Kota Kediri,2.33,0.301,307.79425837320576,57
NGANJUK,474429,73.95,10.7,4.74,1970006.41,1117.2,0.69,2.71,889.0,101.15,2022,2.0,4898.04,Kota Kediri,4.03,0.301,182.1055907171075,58
NGANJUK,474429,73.95,10.7,4.74,1970006.41,1117.2,0.69,2.71,889.0,101.15,2022,3.0,5044.96,Kota Kediri,6.29,0.301,34.08089591563362,63
NGANJUK,474429,73.95,10.7,4.74,1970006.41,1117.2,0.69,2.71,889.0,101.15,2022,4.0,4734.79,Kota Kediri,5.76,0.301,101.55348836973133,69
NGANJUK,513565,74.7,10.89,4.68,2258455.0,1124.7,0.68,2.71,872.0,101.1,2023,1.0,5175.68,Kota Kediri,5.36,0.324,231.88521897767905,74
NGANJUK,513565,74.7,10.89,4.68,2258455.0,1124.7,0.68,2.71,872.0,101.1,2023,2.0,5172.23,Kota Kediri,3.92,0.324,169.63687315609198,83
NGANJUK,513565,74.7,10.89,4.68,2258455.0,1124.7,0.68,2.71,872.0,101.1,2023,3.0,5357.81,Kota Kediri,2.55,0.324,460.3771698104521,48
NGANJUK,513565,74.7,10.89,4.68,2258455.0,1124.7,0.68,2.71,872.0,101.1,2023,4.0,4892.85,Kota Kediri,2.64,0.324,138.87618090438303,49
NGANJUK,539714,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,1.0,5369.35,Kota Kediri,2.88,0.289,473.32548512228544,51
NGANJUK,539714,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,2.0,5480.19,Kota Kediri,1.72,0.289,99.42591596635314,51
NGANJUK,539714,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,3.0,5609.38,Kota Kediri,0.88,0.289,26.227724008737702,58
NGANJUK,539714,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,4.0,5155.99,Kota Kediri,"1,19",0.289,67.95998830066277,136
NGAWI,382301,72.62,14.15,2.48,1962585.99,877.0,0.47,2.13,652.5,98.45,2022,1.0,3480.4,Kota Madiun,2.38,0.3,661.2274096385543,36
NGAWI,382301,72.62,14.15,2.48,1962585.99,877.0,0.47,2.13,652.5,98.45,2022,2.0,3285.44,Kota Madiun,4.76,0.3,72.26120943949249,36
NGAWI,382301,72.62,14.15,2.48,1962585.99,877.0,0.47,2.13,652.5,98.45,2022,3.0,3713.94,Kota Madiun,6.14,0.3,626.2399999937376,36
NGAWI,382301,72.62,14.15,2.48,1962585.99,877.0,0.47,2.13,652.5,98.45,2022,4.0,3784.66,Kota Madiun,5.8,0.3,210.8471358425355,40
NGAWI,413947,73.28,14.4,2.41,2241054.0,880.7,0.44,2.12,631.0,98.3,2023,1.0,3571.8,Kota Madiun,5.15,0.328,3.654204308546333,42
NGAWI,413947,73.28,14.4,2.41,2241054.0,880.7,0.44,2.12,631.0,98.3,2023,2.0,3498.4,Kota Madiun,3.25,0.328,390.2394580860371,57
NGAWI,413947,73.28,14.4,2.41,2241054.0,880.7,0.44,2.12,631.0,98.3,2023,3.0,3932.77,Kota Madiun,2.16,0.328,87.6322121603006,24
NGAWI,413947,73.28,14.4,2.41,2241054.0,880.7,0.44,2.12,631.0,98.3,2023,4.0,3901.53,Kota Madiun,2.35,0.328,593.4220095679583,26
NGAWI,445865,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,1.0,3660.79,Kota Madiun,3.05,0.289,619.8974137904315,26
NGAWI,445865,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,2.0,3719.48,Kota Madiun,1.85,0.289,278.89562937014176,26
NGAWI,445865,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,3.0,4136.15,Kota Madiun,1.22,0.289,1438.7587982801742,30
NGAWI,445865,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,4.0,4079.55,Kota Madiun,"1,31",0.289,516.0785612531937,97
PACITAN,327758,70.19,13.8,3.65,1961154.77,588.55,0.4,1.43,417.0,100.6,2022,1.0,2887.34,Kota Madiun,2.38,0.338,90.73852459016392,30
PACITAN,327758,70.19,13.8,3.65,1961154.77,588.55,0.4,1.43,417.0,100.6,2022,2.0,2889.88,Kota Madiun,4.76,0.338,40.22586558036614,32
PACITAN,327758,70.19,13.8,3.65,1961154.77,588.55,0.4,1.43,417.0,100.6,2022,3.0,3034.02,Kota Madiun,6.14,0.338,244.3871794850907,31
PACITAN,327758,70.19,13.8,3.65,1961154.77,588.55,0.4,1.43,417.0,100.6,2022,4.0,2911.2,Kota Madiun,5.8,0.338,1188.4119999524637,30
PACITAN,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,1.0,3005.41,Kota Madiun,5.15,0.352,238.5649999940359,32
PACITAN,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,2.0,3054.34,Kota Madiun,3.25,0.352,118.1024999990158,39
PACITAN,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,3.0,3189.79,Kota Madiun,2.16,0.352,98.44435146402326,18
PACITAN,352606,70.94,13.65,1.83,2199337.0,588.0,0.12,1.42,410.0,100.8,2023,4.0,2995.43,Kota Madiun,2.35,0.352,132.7584717603563,19
PACITAN,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,1.0,3059.5,Kota Madiun,3.05,0.327,22.615254237224253,21
PACITAN,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,2.0,3266.3,Kota Madiun,1.85,0.327,155.32278480816046,21
PACITAN,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,3.0,3348.53,Kota Madiun,1.22,0.327,364.111904759015,20
PACITAN,370643,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,4.0,3101.49,Kota Madiun,"1,31",0.327,168.0447983011294,63
PAMEKASAN,392345,69.35,13.93,1.4,1939686.39,864.65,0.82,2.1,1089.0,96.45,2022,1.0,3102.25,Kabupaten Sumenep,3.57,0.305,11.7437125748503,41
PAMEKASAN,392345,69.35,13.93,1.4,1939686.39,864.65,0.82,2.1,1089.0,96.45,2022,2.0,3047.84,Kabupaten Sumenep,5.79,0.305,4692.774998826806,42
PAMEKASAN,392345,69.35,13.93,1.4,1939686.39,864.65,0.82,2.1,1089.0,96.45,2022,3.0,2949.99,Kabupaten Sumenep,6.54,0.305,2538.2074073134,46
PAMEKASAN,392345,69.35,13.93,1.4,1939686.39,864.65,0.82,2.1,1089.0,96.45,2022,4.0,2931.48,Kabupaten Sumenep,6.32,0.305,370.7210526120673,52
PAMEKASAN,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,1.0,3229.8,Kabupaten Sumenep,6.43,0.348,424.4176470338578,62
PAMEKASAN,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,2.0,3244.16,Kabupaten Sumenep,4.53,0.348,385.0136986248628,69
PAMEKASAN,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,3.0,3201.0,Kabupaten Sumenep,4.47,0.348,494.9315789213194,44
PAMEKASAN,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,4.0,2953.72,Kabupaten Sumenep,5.08,0.348,942.3333330192222,44
PAMEKASAN,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,1.0,3272.2,Kabupaten Sumenep,4.68,0.301,2.0881773398989063,44
PAMEKASAN,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,2.0,3409.69,Kabupaten Sumenep,3.24,0.301,1553.776271173273,44
